notes, tabs
A2,D7
C2,G5
E2,B5
A3,e5
G+1;B3,D6;e7
E2,B5
C2,G5
B3,e7
G1;C3,D5;e8
E2,B5
C2,G5
C3,e8
F+1;F+2,D4;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
A2,G2
C2,B1
E2,e0
C2,B1
A2,G2
B1;G1;B2,A2;G0;B0
C2;A2;A1,B1;G2;A0
A1;A2;C2,A0;G2;B1
A1,A0
F1,A8
E1,A7
A1,A0
A2,D7
C2,G5
E2,B5
G+1;B3,D6;e7
E2,B5
C2,G5
B3,e7
G1;C3,D5;e8
E2,B5
C2,G5
C3,e8
F+1;F+2,D4;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
A2,G2
C2,B1
E2,e0
C2,B1
A2,G2
B1;B2;G1,A2;B0;G0
A2;C2;A1,G2;B1;A0
A2;A1;C2,G2;A0;B1
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
E2,e0
D1;F+2,D0;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
A2,G2
E2,e0
A1;B2,A0;B0
C2,B1
A2,G2
A1,A0
B1,A2
C2;C1,B1;A3
G1,G0
E1,D2
C2,B1
G0;G2,E3;e3
B2,B0
G1,G0
G2,e3
D1;G2,D0;e3
F+2,e2
D1;F+2;D2,D0;e2;B3
D2;F+2;D1,B3;e2;D0
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
D1;F+2,D0;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
A2,G2
E2,e0
A1;B2,A0;B0
C2,B1
A2,G2
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
D1,D0
A2,G2
D2,B3
F+2,e2
F1;E2;C2;A2,D3;e0;B1;G2
F1;E2;A2;C2,D3;e0;G2;B1
C2;E2;A2;F1,B1;e0;G2;D3
A2,D7
C2,G5
E2,B5
A3,e5
G+1;B3,D6;e7
E2,B5
C2,G5
B3,e7
G1;C3,D5;e8
E2,B5
C2,G5
C3,e8
F+1;F+2,D4;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
A2,G2
C2,B1
E2,e0
C2,B1
A2,G2
G1;B1;B2,G0;A2;B0
A1;C2;A2,A0;B1;G2
C2;A2;A1,B1;G2;A0
A2,D7
C2,G5
E2,B5
A3,e5
G+1;B3,D6;e7
E2,B5
C2,G5
B3,e7
G1;C3,D5;e8
E2,B5
C2,G5
C3,e8
F+1;F+2,D4;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
A2,G2
C2,B1
E2,e0
C2,B1
A2,G2
B1;B2;G1,A2;B0;G0
A2;C2;A1,G2;B1;A0
A1;C2;A2,A0;B1;G2
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
D1;F+2,D0;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
A2,G2
E2,e0
C2,B1
A1;B2,A0;B0
C2,B1
A2,G2
A1,A0
B1,A2
C1;C2,A3;B1
G1,G0
G1;E1;C2,G0;D2;B1
C2,B1
G0;G2,E3;e3
B2,B0
G1,G0
G2,e3
A2;G2;D2;D1,G2;e3;B3;D0
F+2,e2
D2;F+2,B3;e2
A2;F+2;D2;D1,G2;e2;B3;D0
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
E2,e0
D1;F+2,D0;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
A2,G2
C2,B1
B2,B0
C2,B1
A2,G2
A1,A0
B1,A2
C2;C1,B1;A3
G1,G0
E1,D2
C2,B1
D1;F+2,D0;e2
D2,B3
A2,G2
F+2,e2
A2;E2;F1;C2,G2;e0;D3;B1
C2;E2;F1;A2,B1;e0;D3;G2
F1;E2;C2;A2,D3;e0;B1;G2
A2,D7
C2,G5
E2,B5
A3,e5
G+1;B3,D6;e7
E2,B5
C2,G5
B3,e7
G1;C3,D5;e8
E2,B5
C2,G5
C3,e8
F+1;F+2,D4;e2
D2,B3
A2,G2
F+2,e2
F1;E2,D3;e0
C2,B1
E2,e0
C2,B1
E2,e0
C2,B1
A2,G2
B2;B1;G1,B0;A2;G0
C2;A2;A1,B1;G2;A0
C2;A1;A2,B1;A0;G2
A1,A0
F1,A8
E1,A7
A1,A0
A1,A0
A2,D7
C2,G5
A3,e5
G+1;B3,D6;e7
E2,B5
C2,G5
E2,B5
B3,e7
E2,B5
C2,G5
G1,D5
C2,G5
E2,B5
C3,e8
E2,B5
C2,G5
G1,D5
F+1,D4
A2,G2
D2,B3
F+2,e2
D2,B3
A2,G2
F+1,D4
A2,G2
F1,D3
A2,G2
C2,B1
E2,e0
C2,B1
A2,G2
F1,D3
A2,G2
C2,B1
E2,e0
C2,B1
A2,G2
F1,D3
B1;B2;G1,A2;B0;G0
C2;A2;A1,B1;G2;A0
A1;A2;C2,A0;G2;B1
D2;G1;B1;D1,B3;G0;A2;D0
C2;G2;A2;E1,B1;e3;G2;D2
E1;G2;A2;C2,D2;e3;G2;B1
C2;G2;A2;E1,B1;e3;G2;D2
A2;G2;C2;E1,G2;e3;B1;D2
A2;G2;E1;C2,G2;e3;D2;B1
C2;E2;E1;A2,B1;e0;D2;G2
A2;E2;D2,G2;e0;B3
D2;F+2;A2,B3;e2;G2
D1,D0
D2,B3
D2,B3
F+2,e2
D2,B3
G1;B2,G0;B0
B2;G1,B0;G0
C2;G2;E1;A2,B1;e3;D2;G2
A2;G2;E1;C2,G2;e3;D2;B1
C2;G2;E1;A2,B1;e3;D2;G2
E1;G2;C2;A2,D2;e3;B1;G2
E1;G2;A2;C2,D2;e3;G2;B1
C2;E2;A2;E1,B1;e0;G2;D2
A2;E2;C2;E1,G2;e0;B1;D2
E2;B3;D1;G2,G9;e7;D0;B8
F+2;A3;D2,B7;e5;G7
C2;G2;E2,G5;e3;B5
F+2;A3;D2,B7;e5;G7
A1;D1,A0;D0
E1;G2;C2;A2,D2;e3;B1;G2
A2;G2;C2;E1,G2;e3;B1;D2
A2;G2;E1;C2,G2;e3;D2;B1
C2;G2;E1;A2,B1;e3;D2;G2
E1;G2;C2;A2,D2;e3;B1;G2
E1;E2;A2;C2,D2;e0;G2;B1
A2;E2;D2,G2;e0;B3
D2;F+2;A2,B3;e2;G2
D1,D0
D2,B3
D2,B3
F+2,e2
D2,B3
G1;B2,G0;B0
G1;B2,G0;B0
A2;G2;C2;E1,G2;e3;B1;D2
E1;G2;C2;A2,D2;e3;B1;G2
E1;G2;A2;C2,D2;e3;G2;B1
C2;G2;A2;E1,B1;e3;G2;D2
A2;G2;C2;E1,G2;e3;B1;D2
A2;E2;E1;C2,G2;e0;D2;B1
C2;E2;E1;A2,B1;e0;D2;G2
D1;B3;G2;E2,D0;e7;B8;G9
F+2;A3;D2,B7;e5;G7
C2;G2;E2,G5;e3;B5
F+2;A3;D2,B7;e5;G7
A1;D1,A0;D0
A1,A0
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
D2,B3
B2,B0
C2,B1
A2,G2
A1,A0
E1,D2
A2,G2
C2,B1
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
F1;E2;A2;F0;B2;C1,D3;e0;G2;E1;B0;A3
C2;E2;A1;A2;E1,B1;e0;A0;G2;D2
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
D2,B3
B2,B0
C2,B1
A2,G2
A1,A0
E1,D2
A2,G2
C2,B1
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
A2;E2;C2;F1;C1;F0,G2;e0;B1;D3;A3;E1
E1;E2;A1;C2;A2,D2;e0;A0;B1;G2
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
D2,B3
A2;G2;C2;E1,G2;e3;B1;D2
A2;G2;C2;E1,G2;e3;B1;D2
A2;G2;E1;C2,G2;e3;D2;B1
C2;G2;E1;A2,B1;e3;D2;G2
E1;G2;C2;A2,D2;e3;B1;G2
E1;E2;A2;C2,D2;e0;G2;B1
C2;E2;A2;E1,B1;e0;G2;D2
E2;B3;G2;D1,G9;e7;B8;D0
D2;A3;F+2,G7;e5;B7
E2;G2;C2,B5;e3;G5
D1;A3;F+2;D2,D0;e5;B7;G7
A1,A0
E1;G2;A2;C2,D2;e3;G2;B1
C2;G2;A2;E1,B1;e3;G2;D2
A2;G2;C2;E1,G2;e3;B1;D2
A2;G2;E1;C2,G2;e3;D2;B1
C2;G2;E1;A2,B1;e3;D2;G2
E1;E2;C2;A2,D2;e0;B1;G2
D2;E2;G1,B3;e0;G0
A2;F+2;D2,G2;e2;B3
D1,D0
A2;F+2;D1;D2,G2;e2;D0;B3
A2;F+2;D2,G2;e2;B3
D2;F+2;A2,B3;e2;G2
A2;F+2;D2,G2;e2;B3
B2;E2;G1,B0;e0;G0
G1;E2;B2,G0;e0;B0
A2;G2;C2;E1,G2;e3;B1;D2
A2;G2;E1;C2,G2;e3;D2;B1
C2;G2;E1;A2,B1;e3;D2;G2
E1;G2;C2;A2,D2;e3;B1;G2
E1;G2;A2;C2,D2;e3;G2;B1
C2;E2;A2;E1,B1;e0;G2;D2
A2;E2;C2;E1,G2;e0;B1;D2
E2;B3;D1;G2,G9;e7;D0;B8
F+2;A3;D2,B7;e5;G7
C2;G2;E2,G5;e3;B5
D1;A3;D2;F+2,D0;e5;G7;B7
A1,A0
A1,A0
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
D2,B3
B2,B0
C2,B1
A2,G2
A1,A0
E1,D2
A2,G2
C2,B1
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
A2;E2;C2;F0;F1;C1,G2;e0;B1;E1;D3;A3
C2;E2;A1;A2;E1,B1;e0;A0;G2;D2
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
B2,B0
C2;G2;E1;A2,B1;e3;D2;G2
C2;G2;E1;A2,B1;e3;D2;G2
E1;G2;C2;A2,D2;e3;B1;G2
E1;G2;A2;C2,D2;e3;G2;B1
C2;G2;A2;E1,B1;e3;G2;D2
C2;E2;G1,B1;e0;G0
G1;E2;D2,G0;e0;B3
D2;F+2;A2,B3;e2;G2
D1;A2,D0;G2
D1;F+2;D2;A2,D0;e2;B3;G2
D2;F+2;A2,B3;e2;G2
A2;F+2;D2,G2;e2;B3
D2;F+2;A2,B3;e2;G2
B2;G1,B0;G0
G1;B2,G0;B0
C2;G2;G1;E1,B1;e3;G0;D2
C2;G2;E1;G1,B1;e3;D2;G0
E1;G2;C2;A2,D2;e3;B1;G2
E1;G2;G1;C2,D2;e3;G0;B1
C2;G2;G1;E1,B1;e3;G0;D2
C2;E2;G1,B1;e0;G0
E2;B3;G2,G9;e7;B8
F+2;A3;D2,B7;e5;G7
C2;G2;E2,G5;e3;B5
F+2;A3;D2,B7;e5;G7
A1,A0
C2;G2;A2;E1,B1;e3;G2;D2
A2;G2;C2;E1,G2;e3;B1;D2
A2;G2;E1;C2,G2;e3;D2;B1
C2;G2;E1;A2,B1;e3;D2;G2
E1;G2;C2;A2,D2;e3;B1;G2
C2;E2;G1,B1;e0;G0
G1;E2;D2,G0;e0;B3
D2;F+2;A2,B3;e2;G2
D2;A2,B3;G2
D2;F+2;A2,B3;e2;G2
D2;F+2;A2,B3;e2;G2
A2;F+2;D2,G2;e2;B3
D2;F+2;A2,B3;e2;G2
G1;E2;B2,G0;e0;B0
B2;E2;G1,B0;e0;G0
E1;G2;G1;C2,D2;e3;G0;B1
C2;G2;G1;E1,B1;e3;G0;D2
A2;G2;C2;E1,G2;e3;B1;D2
G1;G2;E1;C2,G0;e3;D2;B1
C2;G2;E1;G1,B1;e3;D2;G0
C2;E2;G1,B1;e0;G0
E2;B3;G2,G9;e7;B8
F+2;A3;D2,B7;e5;G7
C2;G2;E2,G5;e3;B5
F+2;A3;D2,B7;e5;G7
A1,A0
A1,A0
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
D2,B3
B2,B0
C2,B1
A2,G2
A1,A0
E1,D2
A2,G2
C2,B1
A1,A0
B1,A2
C1,A3
E1,D2
G1,G0
C2,B1
B1,A2
D1,D0
G1,G0
C1;E2;F1;C2;F0;A2,A3;e0;D3;B1;E1;G2
C2;E2;A2;E1;A1,B1;e0;G2;D2;A0
A1,A0
B1,A2
C2,G5
E2,B5
G2,e3
C2,G5
B2,G4
D2,B3
G2,e3
D+2,B4
A2;F+2;D2,G2;e2;B3
A2;D2,G2;B3
D2;E2;A2,B3;e0;G2
A2;F+2;D2,G2;e2;B3
D1;G2;D2;A2,D0;e3;B3;G2
D2;A2;D1,B3;G2;D0
D2;E2;D1;A2,B3;e0;D0;G2
D2;F+2;D1;A2,B3;e2;D0;G2
D1;G2;D2;A2,D0;e3;B3;G2
D1;E2;A2;D2,D0;e0;G2;B3
D2;F+2;A2;D1,B3;e2;G2;D0
A2;G2;D2;D1,G2;e3;B3;D0
A2;G2;D1;D2,G2;e3;D0;B3
D2;F+2;D1;A2,B3;e2;D0;G2
E1;C1;D2;G1,D2;A3;B3;G0
